Jaar Geobserveerd,Geobserveerd,Jaar Constante,Constante
1970,15211.7813290575,1970,16266.6567855214
1971,15753.9489155666,1971,16518.327773415
1972,16517.1146670593,1972,16773.892510773
1973,17473.2798725482,1973,17033.4112400772
1974,18149.897174896,1974,17296.9451358561
1975,17857.3673309049,1975,17564.5563191053
1976,18833.1253697842,1976,17836.3078719305
1977,18927.6626548087,1977,18112.263852418
1978,19447.4148877376,1978,18392.4893097341
1979,19884.8095047491,1979,18677.050299459
1980,20746.1304391926,1980,18966.0138991573
1981,20690.2921485088,1981,19259.4482241904
1982,20817.6237824675,1982,19557.4224437719
1983,20886.7769433733,1983,19860.0067972733
1984,21399.7564687976,1984,20167.2726107803
1985,21748.818098813,1985,20479.2923139064
1986,22140.7546404301,1986,20796.1394568663
1987,22626.2208713273,1987,21117.888727813
1988,23613.560177706,1988,21444.6159704438
1989,24344.2655935614,1989,21776.3982018783
1990,25037.5200642055,1990,22113.3136308131
1991,25399.6502098741,1991,22455.4416759576
1992,25683.1890116453,1992,22802.8629847544
1993,25337.7949633155,1993,23155.6594523901
1994,26077.8766310795,1994,23513.9142410998
1995,26644.4510210121,1995,23877.7117997701
1996,27021.0241260463,1996,24247.1378838463
1997,27954.8035363458,1997,24622.279575546
1998,28442.7227286092,1998,25003.2253043871
1999,29398.6011933875,1999,25390.0648680324
2000,30398.4481748975,2000,25782.8894534572
2001,30540.822877152,2001,26181.7916584436
2002,30937.1636011617,2002,26586.8655134086
2003,31047.4886725152,2003,26998.2065035687
2004,32040.1171162523,2004,27415.9115914486
2005,32533.1010120298,2005,27840.0792397365
2006,33127.9806506687,2006,28270.8094344951
2007,33998.7572961777,2007,28708.2037087299
2008,33980.862986831,2008,29152.3651663231
2009,32948.9712696942,2009,29603.3985063375
2010,33547.7809427548,2010,30061.4100476966
2011,33855.0191291674,2011,30526.5077542463
2012,33668.3553464809,2012,30998.8012602044
2013,33491.2201710941,2013,31478.4018960041
2014,33886.1970063637,2014,31965.4227145369
2015,34225.8473064574,2015,32459.9785178021
2016,34451.592500108,2016,32962.1858839678
2017,34715.3319284014,2017,33472.1631948516
2018,35049.9262577636,2018,33990.0306638253
